Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,81.830002,82.000000,81.089996,81.410004,68.277634,5765300
2014-01-02,81.330002,81.360001,80.320000,80.540001,67.547951,6981700
2014-01-03,80.760002,80.849998,80.190002,80.449997,67.472473,6925600
2014-01-06,80.610001,80.980003,80.300003,80.639999,67.631828,7208200
2014-01-07,80.709999,81.580002,80.620003,81.419998,68.286018,7158200
2014-01-08,80.970001,81.150002,80.050003,80.239998,67.296349,13458800
2014-01-09,80.540001,80.800003,80.029999,80.419998,67.447342,10833900
2014-01-10,80.589996,80.889999,80.199997,80.300003,67.346687,8448300
2014-01-13,80.010002,80.500000,79.690002,80.010002,67.103493,9360800
2014-01-14,80.059998,80.919998,80.019997,80.870003,67.824730,8737100
2014-01-15,80.699997,81.180000,80.250000,80.790001,67.757645,8221900
2014-01-16,80.650002,80.830002,80.260002,80.559998,67.564713,11673300
2014-01-17,80.419998,80.639999,79.800003,79.879997,66.994431,13629800
2014-01-21,80.589996,80.720001,79.540001,80.180000,67.246048,13216400
2014-01-22,79.570000,79.879997,79.050003,79.230003,66.951553,8455600
2014-01-23,78.709999,78.970001,78.120003,78.239998,66.114967,12667700
2014-01-24,79.330002,81.699997,78.779999,79.180000,66.909302,20163200
2014-01-27,79.239998,79.300003,78.419998,78.470001,66.309341,10395400
2014-01-28,78.669998,79.519997,78.430000,79.110001,66.850136,10060800
2014-01-29,78.800003,78.800003,77.379997,77.639999,65.607956,13443100
2014-01-30,78.050003,78.050003,76.769997,76.870003,64.957283,9450500
2014-01-31,76.029999,77.190002,75.260002,76.620003,64.746017,12988800
2014-02-03,76.690002,76.760002,75.599998,75.699997,63.968597,14292700
2014-02-04,76.000000,76.389999,75.400002,76.089996,64.298172,12055400
2014-02-05,75.940002,76.800003,75.669998,76.449997,64.602364,9734100
2014-02-06,76.529999,76.989998,76.480003,76.900002,64.982628,7819700
2014-02-07,76.989998,77.389999,76.750000,77.309998,65.329086,7259200
2014-02-10,77.430000,78.089996,77.190002,78.029999,65.937508,8959700
2014-02-11,78.099998,79.110001,77.639999,78.839996,66.621986,10500800
2014-02-12,78.129997,78.529999,77.059998,77.489998,65.481194,11019700
2014-02-13,77.089996,77.919998,77.000000,77.800003,65.743141,7420600
2014-02-14,77.690002,79.750000,77.250000,79.400002,67.095192,10791900
2014-02-18,79.480003,79.629997,77.559998,77.970001,65.886795,15750700
2014-02-19,77.639999,78.959999,77.550003,78.139999,66.030457,8740000
2014-02-20,77.959999,78.440002,77.500000,77.919998,65.844559,8275200
2014-02-21,78.050003,78.889999,77.910004,77.970001,65.886795,8089200
2014-02-24,78.029999,78.769997,77.610001,77.860001,65.793846,7838700
2014-02-25,77.730003,78.309998,77.400002,78.120003,66.013573,8177500
2014-02-26,78.230003,78.769997,77.820000,77.860001,65.793846,7764700
2014-02-27,77.769997,78.230003,77.559998,78.190002,66.072723,6549800
2014-02-28,78.239998,78.910004,78.010002,78.660004,66.469887,8489600
2014-03-03,78.260002,78.410004,77.349998,77.480003,65.472748,8598600
2014-03-04,78.089996,78.720001,77.900002,78.449997,66.292427,8306900
2014-03-05,78.320000,78.410004,77.550003,77.820000,65.760071,8542300
2014-03-06,78.040001,78.440002,77.839996,78.059998,65.962868,6475600
2014-03-07,78.410004,78.599998,78.110001,78.379997,66.233276,5865400
2014-03-10,78.290001,78.570000,78.199997,78.529999,66.360023,5229900
2014-03-11,78.589996,79.389999,78.570000,78.949997,66.714928,6595800
2014-03-12,78.660004,79.449997,78.620003,79.239998,66.959991,7469300
2014-03-13,79.320000,79.760002,79.190002,79.190002,66.917763,9676600
2014-03-14,79.099998,79.230003,78.669998,78.980003,66.740295,14850700
2014-03-17,79.019997,79.949997,79.019997,79.839996,67.467003,8452100
